spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1pUFYb9peWkK8m1WCKNRjp,God Is a DJ,Faithless,3,electronic,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041
1gYn6OTpw5W6n8QaJjyY5m,Nobody Speak (feat. Run the Jewels),DJ Shadow,4,electronic,0.625,0.653,-5.967,0.0257,0.124,0,0.346,0.605,110.972
0xZuxFQjLWZnRMOFlFDsF5,Step On,Happy Mondays,5,electronic,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041
5oPUBUzrAnwvlmMzl1VW7Y,Breathe,The Prodigy,6,electronic,0.437,0.878,-4.687,0.0452,0.0112,0,0.126,0.623,128.043
6DxKG8EHEqkWdKrFQSvm32,In Yer Face - Bicep Remix,808 State,7,electronic,0.441,0.986,-2.466,0.116,0.038,0.000781,0.0998,0.184,123.974
67Hna13dNDkZvBpTXRIaOJ,Teardrop,Massive Attack,8,electronic,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041
5rDFRvwao7MFzuhrBTkWMQ,We Don't Care,Audio Bullys,9,electronic,0.623,0.533,-8.164,0.0653,0.245,0.00717,0.112,0.247,84.982
2lrkgtrmmWniRyWsUCoAv1,Singin' in the Rain,Mint Royale,10,electronic,0.648,0.594,-7.027,0.0293,0.114,0.0462,0.116,0.544,113.983
10ZyPt8BfdM5Ir7MTPldFD,Take California,Propellerheads,11,electronic,0.685,0.732,-8.589,0.0322,0.00506,0.778,0.064,0.856,127.999
3ajbqS54UTMweMp1x24DFN,Atom Bomb,Fluke,12,electronic,0.483,0.994,-6.676,0.0762,0.000444,0.765,0.057,0.702,182.051
0GoM2vODdCMqQ4eyjvNKbv,Bentley's Gonna Sort You Out - Damien's Gonna Edit A Bit Out,Bentley Rhythm Ace,13,electronic,0.721,0.654,-7.877,0.0231,0.314,1.28E-05,0.828,0.826,102.978
6lsumzVFKP9SnfKcuGwqVp,Rome Wasn't Built In A Day,Morcheeba,14,electronic,0.683,0.823,-6.475,0.0559,0.138,0.067,0.176,0.837,120.03
24UPAuTCzIAVobhZnwfFqo,The Staunton Lick,Lemon Jelly,15,electronic,0.614,0.209,-11.445,0.0327,0.868,0.000676,0.182,0.416,119.948
3Qr0t5gUkblSNrq2P0S50t,Jump N Shout - Erik Hagleton Remix,Basement Jaxx,16,electronic,0.793,0.658,-6.332,0.0552,0.652,1.11E-06,0.082,0.96,114.039
4OchoJP9f6qiSycrX8iV9Z,6 Underground,Sneaker Pimps,17,electronic,0.591,0.873,-6.877,0.111,0.105,0.0181,0.0676,0.882,162.121
6l0LbTF2V77M3LPpcOBmqX,Halcyon And On And On,Orbital,18,electronic,0.702,0.689,-6.112,0.221,0.152,0,0.0878,0.242,84.063
6VCqx14OVaX9uwSvC0PvAG,The Girl And The Robot,Ranslive,19,electronic,0.64,0.732,-7.078,0.0642,0.641,0.000142,0.114,0.831,112.956
4CLZlTPjaKqbadAJc031OQ,Pogo,Digitalism,20,electronic,0.383,0.711,-8.113,0.0671,0.174,0.000572,0.16,0.432,137.036
7xQYVjs4wZNdCwO0EeAWMC,Born Slippy (Nuxx),Underworld,21,electronic,0.692,0.746,-6.359,0.0362,0.393,0.000496,0.257,0.613,107.981
2EEinN4Zk8MUv4OQuLsTBj,Age Of Consent - 2015 Remastered Version,New Order,22,electronic,0.779,0.918,-6.912,0.268,0.126,4.61E-05,0.701,0.391,100.041
5e9nJoAWMFJAmgUSx7EBFm,Only Heaven,Coldcut,23,electronic,0.653,0.868,-6.12,0.336,0.649,0,0.953,0.733,82.15
5Vx3e9PipiEceifVyBzCdj,Movin' on Up,Primal Scream,24,electronic,0.795,0.664,-10.679,0.0519,0.188,0.89,0.172,0.854,136.029
5zYgFOCkYxPbfzq0PYoUR6,Easy Muffin,Amon Tobin,25,electronic,0.726,0.72,-6.841,0.31,0.327,0,0.287,0.874,149.995
3F138QuYFlzPmgPeWKEFln,Battleflag (feat. Pigeonhed),Lo Fidelity Allstars,26,electronic,0.422,0.862,-6.534,0.153,0.602,0.00904,0.294,0.826,80.526
2GyrX5kqaQeJskyL8TatIy,Poney Part I,Vitalic,27,electronic,0.795,0.573,-9.838,0.0554,0.403,0.004,0.102,0.65,135.123
6ZoBkmNGZ4pTDB8M8GwrQp,Chase the Sun,Planet Funk,28,electronic,0.6,0.826,-5.654,0.0476,0.0555,0,0.0835,0.77,98.046
3ZTDzN6crSsEontNPgFSpV,Gone,Kosheen,29,electronic,0.759,0.79,-4.355,0.0656,0.264,3.91E-05,0.0707,0.914,135.953
0lk1zdGFPEv6U7omOAqhSs,Ain't Talkin' 'Bout Dub,Apollo 440,30,electronic,0.572,0.874,-7.523,0.127,0.525,8.57E-06,0.711,0.681,94.006
3f3HHRPF5vAo90GwdpDMaQ,Because I'm Me,The Avalanches,31,electronic,0.549,0.901,-6.208,0.296,0.721,0,0.913,0.35,152.298
6D2FMgB1DFP3KMCdmAzqkI,Lonely Soul,UNKLE,32,electronic,0.666,0.761,-5.472,0.0926,0.000143,0.712,0.112,0.797,143.035
3q5YhSzJVmiOCuNJCWQ1w9,Destroy Everything You Touch,Ladytron,33,electronic,0.838,0.914,-4.026,0.124,0.378,0.00398,0.0979,0.855,146
