spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3qRHCvn70YpVFFkx3lrAYf,Body on Me,Rita Ora,9,pop,0.636,0.741,-5.436,0.041,0.0132,0,0.287,0.53,88.999
7oGZAicScQt96OAW4AruYy,Want to Want Me,Jason Derulo,10,pop,0.772,0.68,-5.508,0.0629,0.00906,0,0.109,0.656,114.025
0puf9yIluy9W0vpMEUoAnN,Bang Bang,Jessie J,11,pop,0.706,0.786,-3.417,0.091,0.26,0,0.38,0.751,150.028
1DqdF42leyFIzqNDv9CjId,Dynamite,Taio Cruz,12,pop,0.754,0.804,-3.177,0.0853,0.00332,0,0.0329,0.818,119.968
1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame,The Script,13,pop,0.511,0.873,-4.343,0.0564,0.0654,0,0.123,0.629,84.786
6t2ubAB4iSYOuIpRAOGd4t,Cake,Flo Rida,14,pop,0.786,0.854,-4.247,0.0523,0.0729,0.00000163,0.179,0.687,105.078
31t0ATifZW5CW3XP2QUsUW,All Night,The Vamps,15,pop,0.564,0.768,-6.431,0.0342,0.00262,0,0.324,0.362,144.971
6yIdwnpDHufLWgQcveTPMk,"I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,16,pop,0.735,0.451,-8.374,0.0585,0.0631,0.000013,0.325,0.0862,117.973
0AKejOKlGdiB53QpwAeenO,Don't Wanna Know,Maroon 5,17,pop,0.777,0.627,-6.142,0.0792,0.356,0,0.0956,0.444,100.054
0Zx8khUcEfCFK2AEoIhC92,Don't Leave,Snakehips,18,pop,0.657,0.703,-3.402,0.0753,0.222,0,0.256,0.338,122.381
6mnjcTmK8TewHfyOp3fC9C,Die Young,Kesha,19,pop,0.711,0.7,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001
0rFOs9paloAvEtzwDX1Kmc,Bubbly,Colbie Caillat,20,pop,0.697,0.474,-6.663,0.0351,0.603,0,0.11,0.249,127.904
2wqaekenSQZm7hxQOYt8oE,Am I Wrong,Nico & Vinz,21,pop,0.725,0.68,-5.465,0.0306,0.162,0.00000213,0.158,0.76,119.939
